Food Name	Category Name	Calcium	Calories	Carbs	Cholesterol	Copper	Fats	Fiber	Folate	Iron	Magnesium	Monounsaturated Fat	Net carbs	Omega-3 - DHA	Omega-3 - DPA	Omega-3 - EPA	Phosphorus	Polyunsaturated fat	Potassium	Protein	Saturated Fat	Selenium	Sodium	Trans Fat	Vitamin A (IU)	Vitamin A RAE	Vitamin B1	Vitamin B12	Vitamin B2	Vitamin B3	Vitamin B5	Vitamin B6	Vitamin C	Zinc	Choline	Fructose	Histidine	Isoleucine	Leucine	Lysine	Manganese	Methionine	Phenylalanine	Starch	Sugar	Threonine	Tryptophan	Valine	Vitamin D	Vitamin E	Vitamin K	Omega-3 - ALA	Omega-6 - Eicosadienoic acid	Omega-6 - Gamma-linoleic acid	Omega-3 - Eicosatrienoic acid	Omega-6 - Dihomo-gamma-linoleic acid	Omega-6 - Linoleic acid	Omega-6 - Arachidonic acid
Acerola	Fruits	0.012	32	7.7	0	9.00E-05	0.3	1.1	1.40E-05	0.0002	0.018	0.08	6.6	0	0	0	0.011	0.09	0.146	0.4	0.07	6.00E-07	0.007	0	767	3.80E-05	2.00E-05	0	6.00E-05	0.0004	0.00031	1.00E-05	1.678	0.0001																								
Apple	Fruits	0.006	52	14	0	3.00E-05	0.17	2.4	3.00E-06	0.00012	0.005	0.01	11	0	0	0	0.011	0.05	0.107	0.26	0.03	0	0.001	0	54	3.00E-06	2.00E-05	0	3.00E-05	9.00E-05	6.00E-05	4.00E-05	0.0046	4.00E-05	0.0034	5.9	1.00E-05	1.00E-05	1.00E-05	1.00E-05	4.00E-05	0	1.00E-05	0.05	10	1.00E-05	0	1.00E-05	0	0.00018	2.20E-06							
Apricot	Fruits	0.013	48	11	0	8.00E-05	0.39	2	9.00E-06	0.00039	0.01	0.17	9.1	0	0	0	0.023	0.08	0.259	1.4	0.03	1.00E-07	0.001	0	1279	9.60E-05	3.00E-05	0	4.00E-05	0.0006	0.00024	5.00E-05	0.01	0.0002	0.0028	0.94	3.00E-05	4.00E-05	8.00E-05	0.0001	8.00E-05	1.00E-05	5.00E-05		9.2	5.00E-05	2.00E-05	5.00E-05	0	0.00089	3.30E-06							
Dried fruit	Fruits	0.055	241	63	0	0.00034	0.51	7.3	1.00E-05	0.0027	0.032	0.07	55	0	0	0	0.071	0.07	1.162	3.4	0.02	2.20E-06	0.01		3604	0.00018	2.00E-05	0	7.00E-05	0.0026	0.00052	0.00014	0.001	0.00039	0.014	12	5.00E-05	6.00E-05	0.00011	8.00E-05	0.00024	2.00E-05	6.00E-05	0.35	53	7.00E-05	2.00E-05	8.00E-05	0	0.0043	3.10E-06							
Avocado	Fruits	0.012	160	8.5	0	0.00019	15	6.7	8.10E-05	0.00055	0.029	9.8	1.8	0	0	0	0.052	1.8	0.485	2	2.1	4.00E-07	0.007	0	146	7.00E-06	7.00E-05	0	0.00013	0.0017	0.0014	0.00026	0.01	0.00064	0.014	0.12	5.00E-05	8.00E-05	0.00014	0.00013	0.00014	4.00E-05	0.0001	0.11	0.66	7.00E-05	3.00E-05	0.00011	0	0.0021	2.10E-05	0.11	0	0.02				
Banana	Fruits	0.005	89	23	0	8.00E-05	0.33	2.6	2.00E-05	0.00026	0.027	0.03	20	0	0	0	0.022	0.07	0.358	1.1	0.11	1.00E-06	0.001	0	64	3.00E-06	3.00E-05	0	7.00E-05	0.00067	0.00033	0.00037	0.0087	0.00015	0.0098	4.9	8.00E-05	3.00E-05	7.00E-05	5.00E-05	0.00027	1.00E-05	5.00E-05	5.4	12	3.00E-05	1.00E-05	5.00E-05	0	0.0001	5.00E-07							
Blackberry	Fruits	0.029	43	9.6	0	0.00017	0.49	5.3	2.50E-05	0.00062	0.02	0.05	4.3	0	0	0	0.022	0.28	0.162	1.4	0.01	4.00E-07	0.001	0	214	1.10E-05	2.00E-05	0	3.00E-05	0.00065	0.00028	3.00E-05	0.021	0.00053	0.0085	2.4					0.00065			0	4.9				0	0.0012	2.00E-05							
Blueberry	Fruits	0.006	57	14	0	6.00E-05	0.33	2.4	6.00E-06	0.00028	0.006	0.05	12	0	0	0	0.012	0.15	0.077	0.74	0.03	1.00E-07	0.001	0	54	3.00E-06	4.00E-05	0	4.00E-05	0.00042	0.00012	5.00E-05	0.0097	0.00016	0.006	5	1.00E-05	2.00E-05	4.00E-05	1.00E-05	0.00034	1.00E-05	3.00E-05	0.03	10	2.00E-05	0	3.00E-05	0	0.00057	1.90E-05							
Boysenberries	Fruits	0.027	50	12	0	8.00E-05	0.26	5.3	6.30E-05	0.00085	0.016	0.03	6.9	0	0	0	0.027	0.15	0.139	1.1	0.01	2.00E-07	0.001	0	67	3.00E-06	5.00E-05	0	4.00E-05	0.00077	0.00025	6.00E-05	0.0031	0.00022	0.01						0.00055				6.9				0	0.00087	7.80E-06							
Breadfruit	Fruits	0.017	103	27	0	8.00E-05	0.23	4.9	1.40E-05	0.00054	0.025	0.03	22	0	0	0	0.03	0.07	0.49	1.1	0.05	6.00E-07	0.002	0	0	0	0.00011	0	3.00E-05	0.0009	0.00046	0.0001	0.029	0.00012	0.0098			6.00E-05	7.00E-05	4.00E-05	6.00E-05	1.00E-05	3.00E-05		11	5.00E-05		5.00E-05	0	0.0001	5.00E-07							
